@edptoastimage.png        | 0.7 kb
sppsvc.exe                | 6383.1 kb
sppwinob.dll              | 675.9 kb
sppwmi.dll                | 141.5 kb
spwinsat.dll              | 15.5 kb
spwizeng.dll              | 490.3 kb
spwizimg.dll              | 5728.3 kb
spwizres.dll              | 16.8 kb
spwmp.dll                 | 10.5 kb
sqlcecompact40.dll        | 140.5 kb
sqlceoledb40.dll          | 211.0 kb
sqlceqp40.dll             | 944.0 kb
sqlcese40.dll             | 529.5 kb
sqlncli11.dll             | 3397.7 kb
SQLServerManager13.msc    | 25.7 kb
SQLServerManager14.msc    | 25.7 kb
SqlServerSpatial140.dll   | 715.7 kb
SqlServerSpatial150.dll   | 663.8 kb
sqlsrv32.dll              | 719.5 kb
sqlsrv32.rll              | 92.5 kb
sqmapi.dll                | 252.2 kb
SRAPO64.dll               | 456.2 kb
srchadmin.dll             | 356.5 kb
srclient.dll              | 71.5 kb
SRCOM.dll                 | 333.2 kb
SRCOM64.dll               | 372.5 kb
srcore.dll                | 462.0 kb
srdelayed.exe             | 19.0 kb
SrEvents.dll              | 5.0 kb
SRH.dll                   | 935.0 kb
srhelper.dll              | 84.5 kb
SRHInproc.dll             | 1673.5 kb
srm.dll                   | 273.5 kb
srmclient.dll             | 1328.0 kb
srmlib.dll                | 88.0 kb
srms.dat                  | 54.8 kb
srmscan.dll               | 643.0 kb
srmshell.dll              | 171.5 kb
srmstormod.dll            | 279.5 kb
srmtrace.dll              | 86.0 kb
srm_ps.dll                | 31.0 kb
srpapi.dll                | 113.0 kb
SrpUxNativeSnapIn.dll     | 307.0 kb
SRRPTR64.dll              | 1401.5 kb
srrstr.dll                | 244.5 kb
SRSHP64.dll               | 204.6 kb
SRSTSH64.dll              | 216.8 kb
SRSTSX64.dll              | 519.9 kb
SRSWOW64.dll              | 162.3 kb
SrTasks.exe               | 57.0 kb
srumapi.dll               | 59.5 kb
srumsvc.dll               | 202.0 kb
srvcli.dll                | 108.0 kb
srvsvc.dll                | 276.5 kb
srwmi.dll                 | 26.0 kb
sscore.dll                | 44.0 kb
sscoreext.dll             | 13.5 kb
ssdpapi.dll               | 61.5 kb
ssdpsrv.dll               | 234.0 kb
sspicli.dll               | 171.0 kb
sspisrv.dll               | 28.5 kb
SSShim.dll                | 138.3 kb
ssText3d.scr              | 227.5 kb
sstpsvc.dll               | 207.5 kb
Startupscan.dll           | 19.0 kb
StateRepository.Core.dll  | 574.0 kb
staticurllist.bin         | 513.7 kb
stclient.dll              | 64.0 kb
stdole2.tlb               | 17.5 kb
stdole32.tlb              | 7.0 kb
sti.dll                   | 309.0 kb
StikyNot.exe              | 455.0 kb
sti_ci.dll                | 184.0 kb
stobject.dll              | 378.0 kb
StorageContextHandler.dll | 74.5 kb
StorageUsage.dll          | 29.5 kb
storagewmi.dll            | 2814.0 kb
storagewmi_passthru.dll   | 25.5 kb
StoreAgent.dll            | 538.0 kb
storewuauth.dll           | 204.5 kb
Storprop.dll              | 66.5 kb
StorSvc.dll               | 604.0 kb
streamci.dll              | 26.3 kb
StructuredQuery.dll       | 661.5 kb
SubRange.uce              | 91.5 kb
SubscriptionMgr.dll       | 162.5 kb
subst.exe                 | 16.0 kb
sud.dll                   | 641.5 kb
SurfaceHubHandlers.dll    | 380.3 kb
svchost.exe               | 42.9 kb
svsvc.dll                 | 13.5 kb
swprv.dll                 | 456.5 kb
sxproxy.dll               | 75.5 kb
sxs.dll                   | 608.3 kb
sxshared.dll              | 42.5 kb
sxssrv.dll                | 34.0 kb
sxsstore.dll              | 30.0 kb
sxstrace.exe              | 36.0 kb
SyncCenter.dll            | 3335.0 kb
SyncController.dll        | 542.0 kb
synceng.dll               | 96.5 kb
SyncHost.exe              | 46.5 kb
SyncHostps.dll            | 14.0 kb
SyncInfrastructure.dll    | 408.0 kb
SyncInfrastructureps.dll  | 36.0 kb
syncmlhook.dll            | 30.5 kb
SyncProxy.dll             | 49.0 kb
Syncreg.dll               | 77.5 kb
SyncRes.dll               | 3.0 kb
SyncSettings.dll          | 267.0 kb
syncui.dll                | 173.0 kb
syncutil.dll              | 378.5 kb
sysclass.dll              | 127.0 kb
sysdm.cpl                 | 303.5 kb
SysFxUI.dll               | 370.5 kb
syskey.exe                | 31.0 kb
sysmain.dll               | 1063.0 kb
sysmon.ocx                | 467.5 kb
sysntfy.dll               | 26.0 kb
sysprint.sep              | 3.2 kb
sysprtj.sep               | 3.6 kb
SysResetErr.exe           | 28.3 kb
syssetup.dll              | 18.0 kb
systemcpl.dll             | 286.5 kb
SystemEventsBrokerClient.dll | 24.0 kb
SystemEventsBrokerServer.dll | 371.5 kb
systeminfo.exe            | 101.0 kb
SystemPropertiesAdvanced.exe | 82.0 kb
SystemPropertiesComputerName.exe | 82.0 kb
SystemPropertiesDataExecutionPrevention.exe | 82.0 kb
SystemPropertiesHardware.exe | 82.0 kb
SystemPropertiesPerformance.exe | 82.0 kb
SystemPropertiesProtection.exe | 82.0 kb
SystemPropertiesRemote.exe | 82.0 kb
systemreset.exe           | 297.6 kb
SystemSettings.DataModel.dll | 69.3 kb
SystemSettings.DeviceEncryptionHandlers.dll | 172.0 kb
SystemSettings.Handlers.dll | 697.5 kb
SystemSettings.UserAccountsHandlers.dll | 480.5 kb
SystemSettingsAdminFlows.exe | 365.2 kb
SystemSettingsBroker.exe  | 173.1 kb
SystemSettingsRemoveDevice.exe | 27.8 kb
SystemSettingsThresholdAdminFlowUI.dll | 3489.5 kb
systray.exe               | 10.5 kb
t2embed.dll               | 168.5 kb
Tabbtn.dll                | 164.5 kb
TabbtnEx.dll              | 79.5 kb
tabcal.exe                | 81.5 kb
TabletPC.cpl              | 760.5 kb
TabSvc.dll                | 147.5 kb
tadefxapo.dll             | 155.0 kb
tadefxapo264.dll          | 853.0 kb
takeown.exe               | 61.0 kb
tapi3.dll                 | 969.0 kb
tapi32.dll                | 231.0 kb
tapilua.dll               | 32.5 kb
TapiMigPlugin.dll         | 55.0 kb
tapiperf.dll              | 12.5 kb
tapisrv.dll               | 304.5 kb
TapiSysprep.dll           | 13.0 kb
tapiui.dll                | 107.0 kb
TapiUnattend.exe          | 14.0 kb
taskbarcpl.dll            | 481.5 kb
taskcomp.dll              | 419.0 kb
taskeng.exe               | 287.0 kb
taskhostw.exe             | 88.3 kb
taskkill.exe              | 94.5 kb
tasklist.exe              | 100.0 kb
Taskmgr.exe               | 1209.6 kb
taskschd.dll              | 761.1 kb
taskschd.msc              | 141.7 kb
TaskSchdPS.dll            | 57.5 kb
tbauth.dll                | 35.5 kb
tbs.dll                   | 41.9 kb
tcmsetup.exe              | 15.5 kb
tcpbidi.xml               | 1.6 kb
tcpipcfg.dll              | 231.0 kb
tcpmib.dll                | 36.5 kb
tcpmon.dll                | 211.5 kb
tcpmon.ini                | 58.7 kb
tcpmonui.dll              | 70.5 kb
TCPSVCS.EXE               | 12.0 kb
tdc.ocx                   | 86.0 kb
tdh.dll                   | 961.5 kb
telephon.cpl              | 106.5 kb
TelephonyInteractiveUser.dll | 86.0 kb
TelephonyInteractiveUserRes.dll | 3.0 kb
TempSignedLicenseExchangeTask.dll | 20.5 kb
tepeqapo64.dll            | 73.8 kb
termmgr.dll               | 421.5 kb
termsrv.dll               | 1009.0 kb
tetheringclient.dll       | 51.5 kb
tetheringconfigsp.dll     | 30.0 kb
TetheringIeProvider.dll   | 13.0 kb
TetheringMgr.dll          | 254.0 kb
tetheringservice.dll      | 158.5 kb
TetheringStation.dll      | 228.0 kb
TextInputFramework.dll    | 336.5 kb
themecpl.dll              | 2503.5 kb
themeservice.dll          | 58.0 kb
themeui.dll               | 2834.5 kb
threadpoolwinrt.dll       | 70.5 kb
thumbcache.dll            | 290.5 kb
ThumbnailExtractionHost.exe | 34.0 kb
ticrf.rat                 | 1.9 kb
TieringEngineProxy.dll    | 18.5 kb
TieringEngineService.exe  | 283.5 kb
tileobjserver.dll         | 479.0 kb
TimeBrokerClient.dll      | 41.0 kb
TimeBrokerServer.dll      | 161.0 kb
timedate.cpl              | 536.0 kb
TimeDateMUICallback.dll   | 11.5 kb
timeout.exe               | 30.0 kb
TimeSyncTask.dll          | 14.5 kb
tlscsp.dll                | 47.0 kb
tokenbinding.dll          | 33.0 kb
TokenBroker.dll           | 802.0 kb
TokenBrokerCookies.exe    | 25.5 kb
TokenBrokerUI.dll         | 48.0 kb
tosade.dll                | 1349.8 kb
tosasfapo64.dll           | 582.1 kb
toseaeapo64.dll           | 168.5 kb
tossaeapo64.dll           | 867.7 kb
tossaemaxapo64.dll        | 219.0 kb
tpm.msc                   | 141.5 kb
TpmCertResources.dll      | 4.0 kb
tpmcompc.dll              | 43.0 kb
TpmCoreProvisioning.dll   | 426.0 kb
TpmInit.exe               | 103.0 kb
TpmTasks.dll              | 43.5 kb
tpmvsc.dll                | 380.5 kb
tpmvscmgr.exe             | 100.5 kb
tpmvscmgrsvr.exe          | 136.5 kb
tquery.dll                | 3493.5 kb
tracerpt.exe              | 408.0 kb
TRACERT.EXE               | 17.5 kb
traffic.dll               | 41.5 kb
tree.com                  | 20.0 kb
trkwks.dll                | 112.5 kb
tsbyuv.dll                | 16.5 kb
tscfgwmi.dll              | 220.5 kb
TSChannel.dll             | 15.5 kb
tscon.exe                 | 23.0 kb
tsddd.dll                 | 15.0 kb
tsdiscon.exe              | 23.0 kb
tsgqec.dll                | 64.5 kb
tskill.exe                | 23.5 kb
tsmf.dll                  | 416.7 kb
TSpkg.dll                 | 95.5 kb
TSSessionUX.dll           | 78.5 kb
tssrvlic.dll              | 184.0 kb
TSTheme.exe               | 54.0 kb
TsUsbGDCoInstaller.dll    | 44.5 kb
TsUsbRedirectionGroupPolicyExtension.dll | 13.0 kb
TSWbPrxy.exe              | 70.0 kb
TSWorkspace.dll           | 1011.5 kb
TsWpfWrp.exe              | 34.6 kb
TtlsAuth.dll              | 240.0 kb
TtlsCfg.dll               | 335.0 kb
TtlsExt.dll               | 25.5 kb
tvratings.dll             | 36.0 kb
twext.dll                 | 156.0 kb
twinapi.appcore.dll       | 1016.4 kb
twinapi.dll               | 686.0 kb
twinui.appcore.dll        | 2387.5 kb
twinui.dll                | 11274.5 kb
txflog.dll                | 120.0 kb
txfw32.dll                | 12.5 kb
typeperf.exe              | 46.5 kb
tzautoupdate.dll          | 85.0 kb
tzres.dll                 | 3.0 kb
tzsync.exe                | 62.5 kb
tzsyncres.dll             | 4.5 kb
tzutil.exe                | 62.0 kb
ubpm.dll                  | 238.5 kb
ucmhc.dll                 | 56.5 kb
ucrtbase.dll              | 971.4 kb
ucsvc.exe                 | 42.0 kb
udhisapi.dll              | 67.0 kb
uDWM.dll                  | 818.0 kb
uexfat.dll                | 87.0 kb
ufat.dll                  | 129.0 kb
UI0Detect.exe             | 42.0 kb
UIAnimation.dll           | 279.0 kb
UIAutomationCore.dll      | 1362.0 kb
UIAutomationCoreRes.dll   | 35.5 kb
uicom.dll                 | 44.0 kb
uireng.dll                | 184.0 kb
UIRibbon.dll              | 4072.5 kb
UIRibbonRes.dll           | 571.0 kb
ulib.dll                  | 182.3 kb
umb.dll                   | 69.0 kb
umdmxfrm.dll              | 22.5 kb
umpnpmgr.dll              | 109.0 kb
umpo.dll                  | 111.0 kb
umpoext.dll               | 65.5 kb
umpowmi.dll               | 56.5 kb
umrdp.dll                 | 271.5 kb
unattend.dll              | 238.8 kb
unenrollhook.dll          | 62.5 kb
unimdm.tsp                | 290.5 kb
unimdmat.dll              | 74.0 kb
uniplat.dll               | 22.0 kb
Unistore.dll              | 1192.0 kb
unlodctr.exe              | 42.0 kb
unregmp2.exe              | 231.5 kb
untfs.dll                 | 556.5 kb
updatecsp.dll             | 79.0 kb
updatehandlers.dll        | 264.5 kb
updatepolicy.dll          | 108.5 kb
UpgradeResultsUI.exe      | 22.5 kb
upnp.dll                  | 391.5 kb
upnpcont.exe              | 40.5 kb
upnphost.dll              | 442.0 kb
uReFS.dll                 | 628.5 kb
uReFSv1.dll               | 510.5 kb
ureg.dll                  | 29.5 kb
url.dll                   | 232.5 kb
urlmon.dll                | 1694.0 kb
usbceip.dll               | 166.5 kb
usbmon.dll                | 299.5 kb
usbperf.dll               | 14.0 kb
UsbSettingsHandlers.dll   | 52.5 kb
usbui.dll                 | 106.5 kb
user32.dll                | 1365.4 kb
UserAccountBroker.exe     | 34.8 kb
UserAccountControlSettings.dll | 78.5 kb
UserAccountControlSettings.exe | 66.0 kb
usercpl.dll               | 1353.0 kb
UserDataAccessRes.dll     | 7.5 kb
UserDataAccountApis.dll   | 252.5 kb
UserDataLanguageUtil.dll  | 44.0 kb
UserDataPlatformHelperUtil.dll | 66.5 kb
UserDataService.dll       | 1456.5 kb
UserDataTimeUtil.dll      | 109.0 kb
UserDataTypeHelperUtil.dll | 44.5 kb
UserDeviceRegistration.dll | 115.0 kb
UserDeviceRegistration.Ngc.dll | 85.0 kb
userenv.dll               | 110.5 kb
userinit.exe              | 30.0 kb
userinitext.dll           | 20.0 kb
UserLanguageProfileCallback.dll | 70.5 kb
UserLanguagesCpl.dll      | 636.5 kb
usermgr.dll               | 893.5 kb
usermgrcli.dll            | 42.5 kb
UserMgrProxy.dll          | 243.0 kb
usk.rs                    | 31.5 kb
usoapi.dll                | 72.5 kb
UsoClient.exe             | 19.5 kb
usocore.dll               | 370.5 kb
usp10.dll                 | 77.0 kb
ustprov.dll               | 51.5 kb
utildll.dll               | 45.9 kb
Utilman.exe               | 84.5 kb
uudf.dll                  | 164.5 kb
UVoipBackgroundManagerPolicy.dll | 39.0 kb
UXInit.dll                | 78.5 kb
uxlib.dll                 | 172.8 kb
uxlibres.dll              | 11.8 kb
uxtheme.dll               | 575.5 kb
VAN.dll                   | 542.0 kb
Vault.dll                 | 727.0 kb
vaultcli.dll              | 282.0 kb
VaultCmd.exe              | 26.0 kb
VaultRoaming.dll          | 99.5 kb
vaultsvc.dll              | 353.5 kb
VBICodec.ax               | 164.0 kb
vbisurf.ax                | 48.5 kb
vbscript.dll              | 594.0 kb
vcamp120.dll              | 470.7 kb
vcamp120d.dll             | 1212.2 kb
vcamp140.dll              | 481.3 kb
vcamp140d.dll             | 1370.2 kb
VCardParser.dll           | 190.5 kb
vccorlib120.dll           | 348.2 kb
vccorlib120d.dll          | 999.7 kb
vccorlib140.dll           | 358.3 kb
vccorlib140d.dll          | 1001.2 kb
vcomp100.dll              | 55.8 kb
vcomp120.dll              | 134.2 kb
vcomp120d.dll             | 164.7 kb
vcomp140.dll              | 150.8 kb
vcomp140d.dll             | 227.7 kb
vcruntime140.dll          | 83.8 kb
vcruntime140d.dll         | 131.2 kb
vds.exe                   | 651.5 kb
vdsbas.dll                | 237.0 kb
vdsdyn.dll                | 579.5 kb
vdsldr.exe                | 26.0 kb
vdsutil.dll               | 132.5 kb
vdsvd.dll                 | 57.0 kb
vds_ps.dll                | 106.5 kb
VEDataLayerHelpers.dll    | 124.0 kb
VEEventDispatcher.dll     | 279.0 kb
verclsid.exe              | 13.5 kb
verifier.dll              | 365.2 kb
verifier.exe              | 121.0 kb
verifiergui.exe           | 177.5 kb
version.dll               | 30.8 kb
VEStoreEventHandlers.dll  | 147.5 kb
vfwwdm32.dll              | 68.0 kb
vidcap.ax                 | 38.5 kb
VIDRESZR.DLL              | 113.0 kb
virtdisk.dll              | 41.5 kb
VmApplicationHealthMonitorProxy.dll | 15.0 kb
vmbuspipe.dll             | 28.3 kb
vmictimeprovider.dll      | 64.5 kb
vmrdvcore.dll             | 412.5 kb
VoiceActivationManager.dll | 41.0 kb
VoipRT.dll                | 118.0 kb
vpnike.dll                | 577.5 kb
vpnikeapi.dll             | 47.0 kb
VPNv2CSP.dll              | 80.5 kb
VscMgrPS.dll              | 20.0 kb
vscover150.dll            | 208.2 kb
vsjitdebugger.exe         | 359.7 kb
VSPerf150.dll             | 269.2 kb
vssadmin.exe              | 143.0 kb
vssapi.dll                | 1522.0 kb
vsstrace.dll              | 68.5 kb
VSSVC.exe                 | 1431.0 kb
vss_ps.dll                | 60.5 kb
w32time.dll               | 514.5 kb
w32tm.exe                 | 79.0 kb
w32topl.dll               | 35.0 kb
WABSyncProvider.dll       | 72.0 kb
waitfor.exe               | 39.0 kb
WalletBackgroundServiceProxy.dll | 13.5 kb
WalletProxy.dll           | 102.5 kb
WalletService.dll         | 486.0 kb
WallpaperHost.exe         | 11.0 kb
wavemsp.dll               | 257.5 kb
WavesGUILib64.dll         | 2061.1 kb
wbadmin.exe               | 281.0 kb
wbemcomn.dll              | 460.0 kb
wbengine.exe              | 1534.0 kb
wbiosrvc.dll              | 607.0 kb
wcl.dll                   | 297.0 kb
wclEtw.dll                | 58.5 kb
wclPowrProf.dll           | 129.0 kb
wclSqm.dll                | 15.0 kb
wclUnicode.dll            | 123.0 kb
wclWdi.dll                | 8.5 kb
wcmapi.dll                | 115.0 kb
wcmcsp.dll                | 205.0 kb
wcmsvc.dll                | 592.5 kb
WcnApi.dll                | 137.0 kb
wcncsvc.dll               | 460.0 kb
WcnEapAuthProxy.dll       | 35.5 kb
WcnEapPeerProxy.dll       | 37.0 kb
WcnNetsh.dll              | 49.0 kb
wcnwiz.dll                | 1264.0 kb
WcsPlugInService.dll      | 42.0 kb
wdc.dll                   | 1391.0 kb
wdi.dll                   | 98.0 kb
wdigest.dll               | 217.0 kb
wdmaud.drv                | 239.5 kb
wdscore.dll               | 251.3 kb
WdsUnattendTemplate.xml   | 0.6 kb
WEB.rs                    | 5.0 kb
WebCache.exe              | 10.0 kb
WebcamUi.dll              | 1024.0 kb
webcheck.dll              | 255.5 kb
WebClnt.dll               | 223.5 kb
webio.dll                 | 485.0 kb
webservices.dll           | 1413.9 kb
Websocket.dll             | 43.0 kb
wecapi.dll                | 79.5 kb
wecsvc.dll                | 206.5 kb
wecutil.exe               | 105.0 kb
wephostsvc.dll            | 27.0 kb
wer.dll                   | 625.5 kb
werconcpl.dll             | 1261.5 kb
wercplsupport.dll         | 94.0 kb
werdiagcontroller.dll     | 38.0 kb
weretw.dll                | 213.3 kb
WerFault.exe              | 285.3 kb
WerFaultSecure.exe        | 119.6 kb
wermgr.exe                | 144.3 kb
wersvc.dll                | 140.0 kb
werui.dll                 | 441.0 kb
wevtapi.dll               | 391.0 kb
wevtfwd.dll               | 106.0 kb
wevtsvc.dll               | 1703.0 kb
wevtutil.exe              | 240.5 kb
wextract.exe              | 141.5 kb
WF.msc                    | 112.4 kb
wfapigp.dll               | 25.0 kb
wfdprov.dll               | 47.5 kb
WfHC.dll                  | 80.5 kb
WFS.exe                   | 928.5 kb
WFSR.dll                  | 654.5 kb
whealogr.dll              | 99.0 kb
where.exe                 | 40.0 kb
whhelper.dll              | 13.5 kb
whoami.exe                | 68.5 kb
wiaacmgr.exe              | 94.0 kb
wiaaut.dll                | 661.5 kb
wiadefui.dll              | 450.0 kb
wiadss.dll                | 143.0 kb
WiaExtensionHost64.dll    | 11.0 kb
wiarpc.dll                | 73.5 kb
wiascanprofiles.dll       | 100.5 kb
wiaservc.dll              | 628.5 kb
wiashext.dll              | 454.5 kb
wiatrace.dll              | 18.5 kb
wiawow64.exe              | 38.0 kb
WiFiConfigSP.dll          | 27.0 kb
wificonnapi.dll           | 131.5 kb
WiFiDisplay.dll           | 184.5 kb
wifinetworkmanager.dll    | 1288.0 kb
wifiprofilessettinghandler.dll | 298.5 kb
wifitask.exe              | 402.8 kb
WimBootCompress.ini       | 2.2 kb
wimgapi.dll               | 681.8 kb
wimserv.exe               | 511.3 kb
win32k.sys                | 112.5 kb
win32kbase.sys            | 1359.5 kb
win32kfull.sys            | 3508.5 kb
win32spl.dll              | 821.5 kb
winbici.dll               | 118.5 kb
winbio.dll                | 127.5 kb
WinBioDataModel.dll       | 220.0 kb
WinBioDataModelOOBE.exe   | 54.0 kb
winbioext.dll             | 27.5 kb
winbrand.dll              | 35.0 kb
wincorlib.dll             | 409.0 kb
wincredprovider.dll       | 44.0 kb
Windows.AccountsControl.dll | 785.0 kb
Windows.ApplicationModel.Background.SystemEventsBroker.dll | 109.5 kb
Windows.ApplicationModel.Background.TimeBroker.dll | 30.0 kb
Windows.ApplicationModel.Core.dll | 148.0 kb
Windows.ApplicationModel.dll | 181.5 kb
Windows.ApplicationModel.LockScreen.dll | 282.5 kb
Windows.ApplicationModel.Store.dll | 824.0 kb
Windows.ApplicationModel.Store.TestingFramework.dll | 322.5 kb
Windows.ApplicationModel.Wallet.dll | 564.0 kb
Windows.CloudDomainJoinAUG.ProxyStub.dll | 14.5 kb
Windows.Cortana.Desktop.dll | 525.5 kb
Windows.Cortana.OneCore.dll | 310.0 kb
Windows.Cortana.PAL.Desktop.dll | 59.5 kb
Windows.Cortana.ProxyStub.dll | 103.5 kb
Windows.Data.Pdf.dll      | 6808.0 kb
Windows.Devices.AllJoyn.dll | 425.5 kb
Windows.Devices.Background.dll | 61.0 kb
Windows.Devices.Background.ps.dll | 20.0 kb
Windows.Devices.Bluetooth.dll | 1210.5 kb
Windows.Devices.Custom.dll | 75.0 kb
Windows.Devices.Custom.ps.dll | 23.0 kb
Windows.Devices.Enumeration.dll | 447.5 kb
Windows.Devices.HumanInterfaceDevice.dll | 278.0 kb
Windows.Devices.Lights.dll | 146.5 kb
Windows.Devices.LowLevel.dll | 586.0 kb
Windows.Devices.Midi.dll  | 404.0 kb
Windows.Devices.Perception.dll | 2427.5 kb
Windows.Devices.Picker.dll | 336.0 kb
Windows.Devices.PointOfService.dll | 930.0 kb
Windows.Devices.Portable.dll | 41.0 kb
Windows.Devices.Printers.dll | 93.0 kb
Windows.Devices.Printers.Extensions.dll | 46.5 kb
Windows.Devices.Radios.dll | 145.5 kb
Windows.Devices.Scanners.dll | 209.5 kb
Windows.Devices.Sensors.dll | 654.0 kb
Windows.Devices.SerialCommunication.dll | 172.0 kb
Windows.Devices.SmartCards.dll | 871.5 kb
Windows.Devices.Usb.dll   | 443.0 kb
Windows.Devices.WiFi.dll  | 195.0 kb
Windows.Devices.WiFiDirect.dll | 510.0 kb
Windows.Energy.dll        | 171.5 kb
Windows.Gaming.Input.dll  | 236.5 kb
Windows.Gaming.Preview.dll | 228.0 kb
Windows.Gaming.UI.GameBar.dll | 58.0 kb
Windows.Gaming.XboxLive.Storage.dll | 471.0 kb
Windows.Globalization.dll | 1531.0 kb
Windows.Globalization.Fontgroups.dll | 75.5 kb
Windows.Graphics.dll      | 359.5 kb
Windows.Graphics.Printing.3D.dll | 2054.0 kb
Windows.Graphics.Printing.dll | 582.5 kb
Windows.Help.Runtime.dll  | 159.5 kb
windows.immersiveshell.serviceprovider.dll | 289.5 kb
Windows.Internal.Bluetooth.dll | 440.0 kb
Windows.Internal.Management.dll | 271.5 kb
Windows.Internal.Shell.Broker.dll | 713.2 kb
Windows.Internal.UI.BioEnrollment.ProxyStub.dll | 48.5 kb
Windows.Internal.UI.Logon.ProxyStub.dll | 195.5 kb
Windows.Management.Lockdown.dll | 60.0 kb
Windows.Management.Provisioning.ProxyStub.dll | 27.5 kb
Windows.Management.Workplace.WorkplaceSettings.dll | 33.5 kb
Windows.Media.Audio.dll   | 1106.5 kb
Windows.Media.BackgroundMediaPlayback.dll | 159.0 kb
Windows.Media.BackgroundPlayback.exe | 20.5 kb
Windows.Media.Devices.dll | 141.0 kb
Windows.Media.dll         | 3349.5 kb
Windows.Media.Editing.dll | 1400.5 kb
Windows.Media.FaceAnalysis.dll | 1422.5 kb
Windows.Media.Import.dll  | 837.5 kb
Windows.Media.MediaControl.dll | 368.7 kb
Windows.Media.Ocr.dll     | 963.0 kb
Windows.Media.Playback.BackgroundMediaPlayer.dll | 157.5 kb
Windows.Media.Playback.MediaPlayer.dll | 151.5 kb
Windows.Media.Playback.ProxyStub.dll | 45.5 kb
Windows.Media.Protection.PlayReady.dll | 8533.4 kb
Windows.Media.Renewal.dll | 74.0 kb
Windows.Media.Speech.dll  | 1539.5 kb
Windows.Media.Speech.UXRes.dll | 556.0 kb
Windows.Media.Streaming.dll | 1012.0 kb
Windows.Media.Streaming.ps.dll | 233.0 kb
Windows.Networking.BackgroundTransfer.BackgroundManagerPolicy.dll | 79.5 kb
Windows.Networking.BackgroundTransfer.ContentPrefetchTask.dll | 506.0 kb
Windows.Networking.BackgroundTransfer.dll | 877.5 kb
Windows.Networking.Connectivity.dll | 672.5 kb
Windows.Networking.dll    | 867.5 kb
Windows.Networking.HostName.dll | 195.5 kb
Windows.Networking.NetworkOperators.HotspotAuthentication.dll | 132.0 kb
Windows.Networking.Proximity.dll | 356.0 kb
Windows.Networking.ServiceDiscovery.Dnssd.dll | 109.5 kb
Windows.Networking.Sockets.PushEnabledApplication.dll | 148.0 kb
Windows.Networking.UX.EapRequestHandler.dll | 561.5 kb
Windows.Networking.UX.ProxyStub.dll | 114.5 kb
Windows.Networking.Vpn.dll | 1069.0 kb
Windows.Networking.XboxLive.ProxyStub.dll | 74.0 kb
Windows.Perception.Stub.dll | 401.5 kb
Windows.Security.Authentication.OnlineId.dll | 681.0 kb
Windows.Security.Authentication.Web.Core.dll | 692.0 kb
Windows.Security.Credentials.UI.CredentialPicker.dll | 97.4 kb
Windows.Security.Credentials.UI.UserConsentVerifier.dll | 114.5 kb
Windows.Shell.Search.UriHandler.dll | 50.0 kb
Windows.Shell.ServiceHostBuilder.dll | 57.0 kb
Windows.Speech.Pal.dll    | 44.0 kb
Windows.StateRepository.dll | 2681.5 kb
Windows.StateRepositoryBroker.dll | 58.5 kb
Windows.StateRepositoryClient.dll | 62.5 kb
Windows.Storage.ApplicationData.dll | 329.4 kb
Windows.Storage.Compression.dll | 165.0 kb
windows.storage.dll       | 6446.7 kb
Windows.Storage.Search.dll | 798.0 kb
Windows.System.Diagnostics.dll | 73.0 kb
Windows.System.Launcher.dll | 294.0 kb
Windows.System.Profile.HardwareId.dll | 203.0 kb
Windows.System.Profile.PlatformDiagnosticsAndUsageDataSettings.dll | 49.0 kb
Windows.System.Profile.RetailInfo.dll | 142.0 kb
Windows.System.Profile.SystemManufacturers.dll | 27.5 kb
Windows.System.RemoteDesktop.dll | 23.0 kb
Windows.System.SystemManagement.dll | 125.0 kb
Windows.UI.BioFeedback.dll | 405.0 kb
Windows.UI.BlockedShutdown.dll | 464.5 kb
Windows.UI.Core.TextInput.dll | 171.5 kb
Windows.UI.Cred.dll       | 1183.0 kb
Windows.UI.dll            | 659.0 kb
Windows.UI.Immersive.dll  | 1755.0 kb
Windows.UI.Input.Inking.dll | 861.0 kb
Windows.UI.Logon.dll      | 2572.5 kb
Windows.UI.PicturePassword.dll | 184.0 kb
Windows.UI.Search.dll     | 6164.5 kb
Windows.UI.Shell.dll      | 1358.0 kb
Windows.UI.Xaml.dll       | 16586.5 kb
Windows.UI.Xaml.Maps.dll  | 1416.5 kb
Windows.UI.Xaml.Phone.dll | 1491.0 kb
Windows.UI.Xaml.Resources.dll | 1239.0 kb
Windows.Web.Diagnostics.dll | 236.0 kb
Windows.Web.dll           | 769.0 kb
Windows.Web.Http.dll      | 1377.5 kb
WindowsActionDialog.exe   | 39.0 kb
WindowsCodecs.dll         | 1735.1 kb
WindowsCodecsExt.dll      | 270.0 kb
WindowsCodecsRaw.dll      | 28175.0 kb
WindowsCodecsRaw.txt      | 1.6 kb
windowslivelogin.dll      | 224.5 kb
windowsperformancerecordercontrol.dll | 1012.0 kb
WindowsUpdateElevatedInstaller.exe | 21.0 kb
winethc.dll               | 85.0 kb
WinFax.dll                | 30.5 kb
winhttp.dll               | 775.5 kb
winhttpcom.dll            | 95.0 kb
wininet.dll               | 2585.5 kb
wininetlui.dll            | 68.0 kb
wininit.exe               | 284.0 kb
wininitext.dll            | 33.8 kb
winipcfile.dll            | 437.5 kb
winipcsecproc.dll         | 1114.5 kb
winipcsecproc_ssp.dll     | 739.5 kb
winipsec.dll              | 99.5 kb
